club_id,name,pretty_name,domestic_competition,league_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
2832,gaziantep-fk,Gaziantep Fk,TR1,TR1,20.88,28,27.0,12,42.9,4,Kalyon Stadyumu,33502,+-0,Marius Sumudica,https://www.transfermarkt.co.uk/gaziantep-fk/startseite/verein/2832
60949,volos-nps,Volos Nps,GR1,GR1,5.63,24,25.7,17,70.8,1,Panthessaliko Stadio,22700,+£1.35m,Juan Ferrando,https://www.transfermarkt.co.uk/volos-nps/startseite/verein/60949
1005,us-lecce,Us Lecce,IT1,IT1,21.38,29,25.8,14,48.3,2,Ettore Giardiniero,31559,£-675Th.,Fabio Liverani,https://www.transfermarkt.co.uk/us-lecce/startseite/verein/1005
19,brescia-calcio,Brescia Calcio,IT1,IT1,30.24,27,24.5,15,55.6,4,Mario Rigamonti,19550,+£11.61m,Eugenio Corini,https://www.transfermarkt.co.uk/brescia-calcio/startseite/verein/19
399,leeds-united,Leeds United,GB1,GB1,219.38,24,25.1,13,54.2,8,Elland Road,37890,£-25.02m,Marcelo Bielsa,https://www.transfermarkt.co.uk/leeds-united/startseite/verein/399
826,rc-lens,Rc Lens,FR1,FR1,70.7,28,24.9,15,53.6,7,Stade Bollaert-Delelis,38223,+£7.83m,Franck Haise,https://www.transfermarkt.co.uk/rc-lens/startseite/verein/826
3719,fk-khimki,Fk Khimki,RU1,RU1,17.12,23,25.0,6,26.1,1,Arena Khimki,18636,+£33Th.,Sergey Yuran,https://www.transfermarkt.co.uk/fk-khimki/startseite/verein/3719
3609,rotor-volgograd,Rotor Volgograd,RU1,RU1,8.96,25,25.2,3,12.0,1,Volgograd Arena,45568,£-54Th.,Aleksandr Khatskevich,https://www.transfermarkt.co.uk/rotor-volgograd/startseite/verein/3609
4294,sc-farense,Sc Farense,PO1,PO1,11.27,26,25.4,16,61.5,3,Estádio São Luís,15000,+-0,Sérgio Vieira,https://www.transfermarkt.co.uk/sc-farense/startseite/verein/4294
2687,fc-cadiz,Fc Cadiz,ES1,ES1,43.09,27,28.6,11,40.7,7,Nuevo Mirandilla,21094,£-5.31m,Álvaro Cervera,https://www.transfermarkt.co.uk/fc-cadiz/startseite/verein/2687
1531,fc-elche,Fc Elche,ES1,ES1,28.4,19,29.1,6,31.6,1,Manuel Martínez Valero,33732,£-5.40m,Jorge Almirón,https://www.transfermarkt.co.uk/fc-elche/startseite/verein/1531
41274,beerschot-v-a-,Beerschot V A,BE1,BE1,19.51,28,25.3,14,50.0,4,Olympisch Stadion,12771,£-810Th.,Hernán Losada,https://www.transfermarkt.co.uk/beerschot-v-a-/startseite/verein/41274
10,arminia-bielefeld,Arminia Bielefeld,L1,L1,39.74,25,24.6,14,56.0,2,SchücoArena,26515,£-3.78m,Uwe Neuhaus,https://www.transfermarkt.co.uk/arminia-bielefeld/startseite/verein/10
61825,fk-minaj,Fk Minaj,UKR1,UKR1,1.71,11,23.2,4,36.4,2,Avangard,12000,+-0,Vasyl Kobin,https://www.transfermarkt.co.uk/fk-minaj/startseite/verein/61825
49364,ingulets-petrove,Ingulets Petrove,UKR1,UKR1,5.38,26,27.0,5,19.2,0,Zirka,13305,+-0,Sergiy Lavrynenko,https://www.transfermarkt.co.uk/ingulets-petrove/startseite/verein/49364
48726,rukh-lviv,Rukh Lviv,UKR1,UKR1,5.67,22,26.6,2,9.1,1,Arena Lviv,34512,+£252Th.,Ivan Fedyk,https://www.transfermarkt.co.uk/rukh-lviv/startseite/verein/48726
7775,hatayspor,Hatayspor,TR1,TR1,23.92,26,26.3,11,42.3,5,Antakya Atatürk Stadı,5583,£-501Th.,Mehmet Altiparmak,https://www.transfermarkt.co.uk/hatayspor/startseite/verein/7775
3522,spezia-calcio,Spezia Calcio,IT1,IT1,35.96,25,24.1,14,56.0,5,Alberto Picco,10336,£-5.22m,Vincenzo Italiano,https://www.transfermarkt.co.uk/spezia-calcio/startseite/verein/3522
6646,fatih-karagumruk,Fatih Karagumruk,TR1,TR1,24.14,31,26.6,14,45.2,2,Atatürk Olimpiyat Stadı,76092,+-0,Senol Can,https://www.transfermarkt.co.uk/fatih-karagumruk/startseite/verein/6646
65,spvgg-greuther-furth,Spvgg Greuther Furth,L1,L1,27.2,28,23.9,9,32.1,1,Sportpark Ronhof | Thomas Sommer,16626,+£2.48m,Stefan Leitl,https://www.transfermarkt.co.uk/spvgg-greuther-furth/startseite/verein/65
80,vfl-bochum,Vfl Bochum,L1,L1,33.3,31,27.2,16,51.6,5,Vonovia Ruhrstadion,27599,+£315Th.,Thomas Reis,https://www.transfermarkt.co.uk/vfl-bochum/startseite/verein/80
3840,adana-demirspor,Adana Demirspor,TR1,TR1,24.44,26,27.3,14,53.8,3,Yeni Adana Stadyumu,33000,£-1.26m,Samet Aybaba,https://www.transfermarkt.co.uk/adana-demirspor/startseite/verein/3840
2375,altay-sk,Altay Sk,TR1,TR1,13.21,32,29.1,16,50.0,3,Bornova Aziz Kocaoğlu Stadyumu,9138,£-1.74m,Mustafa Denizli,https://www.transfermarkt.co.uk/altay-sk/startseite/verein/2375
11688,giresunspor,Giresunspor,TR1,TR1,19.51,32,26.0,14,43.8,1,Çotanak Spor Kompleksi,22028,£-90Th.,Hakan Keles,https://www.transfermarkt.co.uk/giresunspor/startseite/verein/11688
380,us-salernitana-1919,Us Salernitana 1919,IT1,IT1,27.47,29,26.6,14,48.3,8,Arechi,31300,£-720Th.,Fabrizio Castori,https://www.transfermarkt.co.uk/us-salernitana-1919/startseite/verein/380
553,ionikos-nikeas,Ionikos Nikeas,GR1,GR1,7.79,27,27.3,13,48.1,1,Dimotiko Gipedo Neapolis,5500,+-0,Dimitrios Spanos,https://www.transfermarkt.co.uk/ionikos-nikeas/startseite/verein/553
607,venezia-fc,Venezia Fc,IT1,IT1,37.78,36,25.8,18,50.0,7,Pier Luigi Penzo,7426,£-9.62m,Paolo Zanetti,https://www.transfermarkt.co.uk/venezia-fc/startseite/verein/607
6912,fc-vizela,Fc Vizela,PO1,PO1,10.53,28,25.8,16,57.1,1,Estádio do Vizela,6565,+£118Th.,Álvaro Pacheco,https://www.transfermarkt.co.uk/fc-vizela/startseite/verein/6912
2715,rfc-seraing,Rfc Seraing,BE1,BE1,5.42,26,23.6,13,50.0,2,Stade du Paray,6744,+-0,Jordi Condom,https://www.transfermarkt.co.uk/rfc-seraing/startseite/verein/2715
3524,clermont-foot-63,Clermont Foot 63,FR1,FR1,24.21,28,25.9,15,53.6,8,Stade Gabriel-Montpied,13000,+-0,Pascal Gastien,https://www.transfermarkt.co.uk/clermont-foot-63/startseite/verein/3524
3948,royale-union-saint-gilloise,Royale Union Saint Gilloise,BE1,BE1,13.88,25,25.1,17,68.0,3,Stade Joseph Mariën,8000,+-0,Felice Mazzu,https://www.transfermarkt.co.uk/royale-union-saint-gilloise/startseite/verein/3948
49702,fk-nizhny-novgorod,Fk Nizhny Novgorod,RU1,RU1,12.6,23,26.5,5,21.7,2,Nizhny Novgorod Stadium,43319,£-132Th.,Aleksandr Kerzhakov,https://www.transfermarkt.co.uk/fk-nizhny-novgorod/startseite/verein/49702
1148,fc-brentford,Fc Brentford,GB1,GB1,151.43,32,24.0,26,81.3,12,Brentford Community Stadium,18250,£-34.38m,Thomas Frank,https://www.transfermarkt.co.uk/fc-brentford/startseite/verein/1148
55686,metalist-1925-kharkiv,Metalist 1925 Kharkiv,UKR1,UKR1,4.82,27,26.4,4,14.8,0,OSK Metalist,40003,+-0,Valeriy Kryventsov,https://www.transfermarkt.co.uk/metalist-1925-kharkiv/startseite/verein/55686
